"Title","Cost","Producer","Time","year","Marks.from.kinopoisk","Count.for.mark","IMDb.mark"
"Мстители: Война бесконечности","321000000","Энтони Руссо...",149,2018,7.874,141505,8.50591
"Хан Соло: Звёздные войны. Истории","275000000","Рон Ховард",135,2018,6.934,46026,7.00207
"Суперсемейка 2","200000000","Брэд Бёрд",118,2018,7.39,41559,7.80181
"Фантастические твари: Преступления Грин-де-Вальда","200000000","Дэвид Йейтс",134,2018,6.651,75818,6.70127
"Чёрная Пантера","200000000","Райан Куглер",134,2018,6.487,90383,7.30468
"Миссия невыполнима: Последствия","178000000","Кристофер МакКуорри",147,2018,7.19,47724,7.80217
"Первому игроку приготовиться","175000000","Стивен Спилберг",140,2018,7.414,106953,7.50282
"Ральф против интернета","175000000","Фил Джонстон...",111,2018,7.124,22124,7.2058
"Мир Юрского периода 2","170000000","Хуан Антонио Байона",128,2018,6.161,45130,6.20199
"Человек-муравей и Оса","162000000","Пейтон Рид",118,2018,6.955,60650,7.10199
"Аквамен","160000000","Джеймс Ван",143,2018,7.017,55290,7.30173
"Мег: Монстр глубины","130000000","Джон Тёртлтауб",113,2018,5.901,28621,5.7098
"Тихоокеанский рубеж 2","150000000","Стивен С. ДеНайт",110,2018,5.74,31006,5.6084
"Бамблби","135000000","Трэвис Найт",114,2018,6.699,15907,7.1053
"Мэри Поппинс возвращается","130000000","Роб Маршалл",130,2018,6.75,5416,7.2033
"Небоскреб","125000000","Роусон Маршалл Тёрбер",103,2018,6.067,24761,5.9071
"Рэмпейдж","120000000","Брэд Пейтон",107,2018,6.161,27826,6.10107
"Щелкунчик и четыре королевства","120000000","Лассе Халльстрём...",99,2018,5.722,8435,5.5014
"Дэдпул 2","110000000","Дэвид Литч",119,2018,7.389,111430,7.80353
"Излом времени","103000000","Ава ДюВерней",109,2018,4.617,10566,4.2032
"Веном","100000000","Рубен Фляйшер",112,2018,6.817,106243,6.80239
"Хроники хищных городов","100000000","Кристиан Риверс",128,2018,6.256,29851,6.2044
"Робин Гуд: Начало","100000000","Отто Батхёрст",116,2018,5.65,12327,5.3029
"Tomb Raider: Лара Крофт","94000000","Роар Утхауг",118,2018,6.12,43387,6.30154
"Человек-паук: Через вселенные","90000000","Боб Персичетти...",117,2018,8.122,33633,8.6012
"Хищник","88000000","Шейн Блэк",107,2018,5.627,32829,5.4084
"Монстры на каникулах 3: Море зовёт","80000000","Генндий Тартаковский",97,2018,6.599,21774,6.3037
"Кристофер Робин","75000000","Марк Форстер",104,2018,7.406,23278,7.4043
"Mamma Mia! 2","75000000","Ол Паркер",114,2018,6.945,11912,6.8053
"Гринч","75000000","Ярроу Чейни...",86,2018,6.822,12623,6.3024
"Царь обезьян: Царство женщин","73000000","Чин Поу-Сои",116,2018,5.568,136,5.50905
"8 подруг Оушена","70000000","Гэри Росс",110,2018,6.509,43492,6.20129
"Операция в Красном море","70000000","Данте Лам",138,2018,6.507,528,6.804
"Красный воробей","69000000","Френсис Лоуренс",140,2018,5.453,37739,6.60129
"Великий уравнитель 2","62000000","Антуан Фукуа",121,2018,6.575,22696,6.8085
"Бегущий в лабиринте: Лекарство от смерти","62000000","Уэс Болл",143,2018,5.988,30624,6.2086
"Человек на Луне","59000000","Дэмьен Шазелл",141,2018,7.115,27511,7.401
"Шерлок Гномс","59000000","Джон Стивенсон",87,2018,5.77,2121,5.107
"Пятьдесят оттенков свободы","55000000","Джеймс Фоули",105,2018,5.316,23768,4.5041
"Богемская рапсодия","52000000","Брайан Сингер",134,2018,8.025,111391,8.10276
"Альфа","51000000","Альберт Хьюз",96,2018,6.583,22873,6.7036
"Крид 2","50000000","Стивен Кейпл мл.",130,2018,6.904,6569,7.4048
"Кролик Питер","50000000","Уилл Глак",95,2018,6.811,12336,6.6026
"Дикие предки","50000000","Ник Парк",89,2018,6.381,2980,6.1014
"22 мили","50000000","Питер Берг",94,2018,5.812,8502,6.1042
"Семья по-быстрому","48000000","Шон Андерс",118,2018,7.446,5248,7.5019
"Девушка, которая застряла в паутине","43000000","Федерико Альварес",117,2018,5.863,9576,6.102
"Вдовы","42000000","Стив МакКуин",129,2018,6.326,10309,7.1047
"Тайна дома с часами","42000000","Элай Рот",105,2018,5.903,12502,6.1028
"Холмс & Ватсон","42000000","Этан Коэн",90,2018,4.651,1330,3.408
"Шпион, который меня кинул","40000000","Сюзанна Фогель",117,2018,5.855,13996,6.0041
"Хантер Киллер","40000000","Донован Марш",122,2018,5.829,5211,6.6025
"Игрушки для взрослых","40000000","Брайан Хенсон",91,2018,5.58,3676,5.3014
"Оверлорд","38000000","Джулиус Эйвери",110,2018,6.352,14112,6.8039
"Ночные игры","37000000","Джон Фрэнсис Дейли...",100,2018,7.009,48336,7.00151
"Звезда родилась","36000000","Брэдли Купер",136,2018,7.367,43586,7.90198
"Убийца 2. Против всех","35000000","Стефано Соллима",122,2018,7.066,17932,7.1084
"Во власти стихии","35000000","Бальтасар Кормакур",96,2018,6.805,15809,6.603
"Ужастики 2: Беспокойный Хэллоуин","35000000","Эри Сандел",90,2018,5.519,3389,5.709
"Тёмные отражения","34000000","Дженнифер Ю",104,2018,5.775,9047,5.7018
"Ничего хорошего в отеле «Эль рояль»","32000000","Дрю Годдард",141,2018,7.091,46375,7.1069
"Красотка на всю голову","32000000","Эбби Кон...",110,2018,6.387,22695,5.4035
"Падмавати","31000000","Санджай Лила Бхансали",164,2018,7.202,745,7.0022
"Банды Индостана","31000000","Виджай Кришна Ачария",164,2018,5.946,198,3.9014
"Охота на воров","30000000","Кристиан Гьюдгэст",140,2018,6.71,19622,7.0064
"Безумно богатые азиаты","30000000","Джон М. Чу",120,2018,6.583,5148,7.008
"Кин","30000000","Джонатан Бэйкер...",102,2018,5.649,3233,5.707
"Поезд на Париж","30000000","Клинт Иствуд",94,2018,5.59,2424,5.202
"Белый парень Рик","29000000","Ян Деманж",111,2018,6.255,1666,6.5012
"Вечерняя школа","29000000","Малкольм Д. Ли",111,2018,5.616,3234,5.6018
"Ты водишь!","28000000","Джефф Томсич",100,2018,6.601,30632,6.6073
"Багровая мята","25000000","Пьер Морель",101,2018,6.276,6122,6.503
"Агент Джонни Инглиш 3.0","25000000","Дэвид Керр",89,2018,6.192,12039,6.204
"Операция «Финал»","24000000","Крис Вайц",122,2018,6.433,1359,6.5018
"Зеленая книга","23000000","Питер Фаррелли",130,2018,8.372,70193,8.30102
"Чужая ненависть","23000000","Джордж Тиллман мл.",133,2018,7.02,776,7.2013
"Проклятие монахини","22000000","Корин Харди",96,2018,5.693,27529,5.4079
"Секса не будет!!!","21000000","Кэй Кэннон",102,2018,5.738,11645,6.2052
"Простая просьба","20000000","Пол Фиг",117,2018,6.729,32368,6.907
"Точка отрыва","19000000","Тим Киркби",85,2018,5.593,1310,5.005
"С Богами: Последние 49 дней","18300000","Ким Ён-хва",141,2018,7.657,380,7.002
"Тихое место","17000000","Джон Красински",90,2018,6.736,70114,7.60279
"Начни сначала","16000000","Питер Сигал",103,2018,6.382,3955,5.906
"Суперфлай","16000000","Директор Икс.",116,2018,5.14,247,5.104
"Фаворитка","15000000","Йоргос Лантимос",119,2018,7.486,21772,7.7077
"Черный клановец","15000000","Спайк Ли",135,2018,6.787,24261,7.50117
"Прорыв","15000000","Ким Сон-хун",121,2018,6.096,207,6.30745
"Гордая Мэри","14000000","Бабак Наджафи",89,2018,4.756,309,4.906
"Суперполицейские 2","13500000","Джей Чандрашекхар",100,2018,4.871,725,6.1018
"Судная ночь. Начало","13000000","Герард МакМюррей",98,2018,5.437,11005,5.1036
"Кикбоксер возвращается","13000000","Димитри Логотетис",110,2018,4.644,1244,5.003
"Незнакомцы: Жестокие игры","12500000","Йоханнес Робертс",85,2018,4.826,3275,5.202
"За бортом","12000000","Роб Гринберг",112,2018,6.229,11041,5.9022
"Юные титаны, вперед!","10000000","Аарон Хорват...",84,2018,6.683,307,6.801
"Хэллоуин","10000000","Дэвид Гордон Грин",106,2018,5.776,17874,6.7077
"Астрал 4: Последний ключ","10000000","Адам Робител",103,2018,5.539,17982,5.7039
"Кодекс Готти","10000000","Кевин Коннолли",112,2018,5.524,2417,4.808
"Слендермен","10000000","Сильвен Уайт",93,2018,4.153,5413,3.2016
"Кадавр","7700000","Дидерик Ван Ружен",86,2018,4.847,936,5.107
